1, 409.000000, 206.000000
11, 4496.000000, 1584.000000
13, 5585.000000, 1636.000000
15, 6411.000000, 1972.000000
17, 7539.000000, 2040.000000
19, 8529.000000, 2009.000000
21, 9171.000000, 2540.000000
23, 10120.000000, 2737.000000
25, 11270.000000, 2750.000000
27, 12650.000000, 2818.000000
29, 12871.000000, 3325.000000
3, 1159.000000, 413.000000
31, 13893.000000, 3352.000000
33, 15540.000000, 3298.000000
35, 16489.000000, 3254.000000
37, 17257.000000, 2642.000000
39, 18088.000000, 3607.000000
41, 19536.000000, 2980.000000
43, 20432.000000, 3659.000000
45, 20992.000000, 3301.000000
47, 22349.000000, 2959.000000
49, 22542.000000, 3422.000000
5, 2110.000000, 659.000000
51, 23582.000000, 3477.000000
52, 2649.000000, 2111.000000
55, 11486.000000, 2947.000000
7, 2838.000000, 1054.000000
9, 3597.000000, 1311.000000
