1, 6143478.000000, 15560609.317460, 13123945.000000, 15836543.750000, 29145533.700000, 71192235.250000, 73407025.000000, 73407025.000000
11, 5298011.090909, 13468259.700084, 11697693.590909, 15544315.863636, 26223125.350000, 59665031.575455, 62835048.000000, 62835048.000000
13, 5163590.923077, 13718797.634931, 11509943.230769, 15550005.769231, 30034557.150000, 64868579.373846, 68445507.538462, 68445507.538462
15, 5158982.200000, 13979986.784558, 11594144.933333, 15968058.716667, 31950643.670000, 59074028.507333, 60833314.266667, 60833314.266667
17, 5369405.647059, 13643351.330139, 11538817.470588, 15835439.794118, 28255673.811765, 59831385.411176, 63680213.117647, 63680213.117647
19, 4959553.263158, 13945241.733279, 11155519.289474, 15893062.263158, 31547209.928947, 75305452.491053, 79865981.315789, 79865981.315789
21, 4973602.476190, 14295445.430607, 11365657.000000, 16461798.797619, 35141177.216667, 62194207.521905, 64539382.380952, 64539382.380952
23, 5171341.086957, 15399179.617687, 11876897.586957, 18005945.195652, 36498527.980435, 77446690.748696, 81032515.565217, 81032515.565217
25, 4996368.480000, 15606789.941450, 11889391.960000, 17480108.910000, 39355751.806000, 84388544.684400, 88591648.880000, 88591648.880000
27, 5061967.370370, 15896618.501307, 12496493.351852, 18591888.555556, 38612548.983333, 72393734.968148, 75705316.407407, 75705316.407407
29, 5325914.379310, 16515866.333529, 12879723.500000, 19934850.103448, 39373732.386207, 73506559.297586, 76838806.862069, 76838806.862069
3, 5415836.000000, 14059747.173113, 12491923.833333, 15057771.500000, 28711852.266667, 71611734.480000, 72917194.000000, 72917194.000000
31, 5104457.516129, 18805779.034298, 14057947.903226, 22838893.395161, 50752914.096774, 86876859.411935, 90091077.967742, 90091077.967742
33, 5317581.545455, 19253542.925888, 14644445.666667, 23284081.575758, 50001829.846970, 90007667.742727, 94195610.090909, 94195610.090909
35, 5300932.028571, 19233969.341762, 14570475.128571, 23779189.271429, 49471609.714286, 80815295.922000, 83334044.600000, 83334044.600000
37, 5947001.054054, 34755877.327757, 22737137.608108, 42225956.891892, 109217393.343243, 206822362.007568, 213898156.594595, 213898156.594595
39, 5926430.000000, 32766819.663418, 22982176.089744, 42106631.833333, 90794832.569231, 177285893.879487, 190406320.230769, 190406320.230769
41, 6150850.707317, 41374958.530917, 24108529.195122, 45127825.689024, 139605985.600000, 391322987.126585, 417276702.951219, 417276702.951219
43, 6073906.697674, 34494316.862921, 24377107.709302, 44083703.906977, 100552107.694186, 160791255.183256, 166513318.279070, 166513318.279070
45, 6156727.444444, 45262745.018955, 30203803.888889, 57118246.627778, 137600675.370000, 293520869.380666, 307177639.600000, 307177639.600000
47, 6286349.936170, 43899530.216908, 32207248.978723, 60518669.494681, 117858078.617021, 205499950.303617, 214264705.553191, 214264705.553191
49, 6521414.673469, 56858291.935123, 34603850.020408, 68999868.418367, 192062338.697959, 467128511.323061, 494771005.102041, 494771005.102041
5, 5802753.200000, 13908887.400214, 12113697.700000, 14945743.050000, 29177175.960000, 56694849.412000, 57886227.400000, 57886227.400000
51, 6484517.607843, 66318541.042380, 45392849.754902, 89053383.642157, 191084394.556863, 373737336.470196, 387395761.294118, 387395761.294118
52, 10632689.576923, 71155934.174613, 46252755.634615, 95458601.596154, 262958122.255769, 271215159.076923, 271215159.076923, 271215159.076923
55, 8062831.163636, 86939300.152777, 48897509.154545, 90684353.786364, 368763327.638181, 867098120.054545, 867098120.054545, 867098120.054545
7, 5157743.000000, 13505233.425785, 11824347.928571, 15505544.071429, 25509546.478571, 56136876.995714, 59003774.285714, 59003774.285714
9, 5304681.444444, 14055255.293203, 12230254.500000, 15673254.722222, 29104127.333333, 60446653.424444, 62952402.222222, 62952402.222222
