1, 882.000000, 125.000000, 409.000000, 206.000000, 409.000000
11, 9093.000000, 1084.000000, 4496.000000, 1584.000000, 4496.000000
13, 10850.000000, 1241.000000, 5585.000000, 1636.000000, 5585.000000
15, 12509.000000, 1393.000000, 6411.000000, 1972.000000, 6411.000000
17, 14364.000000, 1512.000000, 7539.000000, 2040.000000, 7539.000000
19, 15792.000000, 1661.000000, 8529.000000, 2009.000000, 8529.000000
21, 17389.000000, 1793.000000, 9171.000000, 2540.000000, 9172.000000
23, 19252.000000, 1860.000000, 10120.000000, 2737.000000, 10120.000000
25, 21042.000000, 2036.000000, 11270.000000, 2750.000000, 11270.000000
27, 23020.000000, 2103.000000, 12650.000000, 2818.000000, 12651.000000
29, 24255.000000, 2207.000000, 12871.000000, 3325.000000, 12871.000000
3, 2331.000000, 312.000000, 1159.000000, 413.000000, 1159.000000
31, 25914.000000, 2306.000000, 13893.000000, 3352.000000, 13893.000000
33, 28070.000000, 2342.000000, 15540.000000, 3298.000000, 15540.000000
35, 29534.000000, 2406.000000, 16489.000000, 3254.000000, 16491.000000
37, 29918.000000, 2457.000000, 17257.000000, 2642.000000, 17257.000000
39, 32522.000000, 2664.000000, 18088.000000, 3607.000000, 18088.000000
41, 33558.000000, 2683.000000, 19536.000000, 2980.000000, 19536.000000
43, 35882.000000, 2778.000000, 20432.000000, 3659.000000, 20433.000000
45, 36379.000000, 2714.000000, 20992.000000, 3301.000000, 20992.000000
47, 37895.000000, 2819.000000, 22349.000000, 2959.000000, 22349.000000
49, 38907.000000, 2887.000000, 22542.000000, 3422.000000, 22544.000000
5, 4116.000000, 532.000000, 2110.000000, 659.000000, 2110.000000
51, 40607.000000, 2815.000000, 23582.000000, 3477.000000, 23582.000000
52, 7100.000000, 893.000000, 2649.000000, 2111.000000, 2649.000000
55, 21541.000000, 2167.000000, 11486.000000, 2947.000000, 11489.000000
7, 5817.000000, 725.000000, 2838.000000, 1054.000000, 2838.000000
9, 7441.000000, 917.000000, 3597.000000, 1311.000000, 3597.000000
