1, 413.000000, 470.000000
11, 4879.000000, 3583.000000
13, 6104.000000, 4457.000000
15, 7546.000000, 5307.000000
17, 8325.000000, 6095.000000
19, 9177.000000, 5877.000000
21, 10038.000000, 6754.000000
23, 10807.000000, 6871.000000
25, 12737.000000, 8162.000000
27, 12569.000000, 7954.000000
29, 13475.000000, 8414.000000
3, 1401.000000, 1447.000000
31, 14079.000000, 8151.000000
33, 15811.000000, 9438.000000
35, 16688.000000, 9531.000000
37, 17726.000000, 9668.000000
39, 16850.000000, 8964.000000
41, 19355.000000, 10724.000000
43, 21004.000000, 11529.000000
45, 20621.000000, 11133.000000
47, 20707.000000, 10241.000000
49, 21818.000000, 10806.000000
5, 2214.000000, 2039.000000
51, 23965.000000, 12516.000000
53, 23272.000000, 10970.000000
57, 29013.000000, 13255.000000
7, 3322.000000, 2890.000000
9, 4334.000000, 3489.000000
